helmet, What does the object look like?, The object is typically rounded or oval in shape., Shape:0.8,Egg:0.7,Sphere:0.6,Fruit:, Shape:0.38095238095238093,Egg:0.3333333333333333,Sphere:0.2857142857142857, information_gain: 27.631021115928547, remaining_turns: 4
, curtain, Is the object something that can be held in one's hand?, No., Handheld:-0.9,Size:-0.8,Portable:-0.7,Small, Not Handheld:0.37499999999999994,Not Size:0.3333333333333333,Not Portable:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 2
, curtain, What is the typical location of the object when it is in use?, The object is typically located in a window., Window:0.9,Location:0.8,Home:0.7,Interior, Window:0.37499999999999994,Location:0.3333333333333333,Home:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 1
, underwear, What is the general shape of the object?, The object is shaped like a pair of connected loops., Loops:0.9,Shape:0.8,Connected:0.7,Pair, Loops:0.37499999999999994,Shape:0.3333333333333333,Connected:0.29166666666666663, information_gain: 27.631021115928547, remaining_turns: 7
, underwear, What is the object made of?, The object is made of fabric., Fabric:0.9,Textile:0.8,Material:0.7,Cloth, Fabric:0.37499999999999994,Textile:0.3333333333333333,Material:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 6
, underwear, What is the object used for?, The object is used for covering private parts of the body., Underwear:0.9,Privacy:0.8,Body:0.7,Clothing, Underwear:0.37499999999999994,Privacy:0.3333333333333333,Body:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 5
, underwear, What size is the object?, The object comes in various sizes., Size:0.8,Variable:0.7,Range:0.6,Adjustable, Size:0.38095238095238093,Variable:0.3333333333333333,Range:0.2857142857142857, information_gain: 7.033348047705214, remaining_turns: 4
, underwear, Is the object commonly used by both men and women?, Yes., Unisex:0.9,Gender:0.8,Common:0.7,Shared, Unisex:0.37499999999999994,Gender:0.3333333333333333,Common:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 3
, underwear, How is the object typically fastened?, The object is typically fastened with an elastic waistband., Elastic:0.9,Waistband:0.8,Fastening:0.7, Elastic:0.37499999999999994,Waistband:0.3333333333333333,Fastening:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 2
, underwear, What is the typical color of the object?, The typical color of the object is white., White:0.9,Color:0.8,Underwear:0.7,Cotton, White:0.37499999999999994,Color:0.3333333333333333,Underwear:0.29166666666666663, information_gain: 7.626355300005655, remaining_turns: 1
, pill, What is the general size of the object?, The general size of the object is small., Small:0.9,Size:0.8,Compact:0.7,Miniature, Small:0.37499999999999994,Size:0.3333333333333333,Compact:0.29166666666666663, information_gain: 27.631021115928547, remaining_turns: 5
, pill, What is the object used for?, The object is used for health purposes., Health:0.9,Medical:0.8,Wellness:0.7,Therapeutic, Health:0.37499999999999994,Medical:0.3333333333333333,Wellness:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 4
, pill, What material is the object made of?, The object is made of a combination of chemical compounds and other materials., Chemical:0.8,Compound:0.7,Material:0.6,Synthetic, Chemical:0.38095238095238093,Compound:0.3333333333333333,Material:0.2857142857142857, information_gain: 7.033348047705214, remaining_turns: 3
, pill, Is the object something that can be held in your hand?, Yes., Handheld:0.9,Size:0.8,Portable:0.7,Compact, Handheld:0.37499999999999994,Size:0.3333333333333333,Portable:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 2
, pill, What is the shape of the object?, The shape of the object is round., Round:0.9,Circle:0.8,Shape:0.7,Sphere, Round:0.37499999999999994,Circle:0.3333333333333333,Shape:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 1
, pill, I'm going to take a guess that the object is a pill.?, Correct., Pill:1.0,Medication:0.9,Health:0.8,, Pill:0.37037037037037035,Medication:0.3333333333333333,Health:0.2962962962962963, information_gain: 7.557673943238083, remaining_turns: 0
, computer, What is the general shape of the object?, The object is rectangular., Rectangle:0.9,Shape:0.8,Square:0.7,Geometric, Rectangle:0.37499999999999994,Shape:0.3333333333333333,Square:0.29166666666666663, information_gain: 27.631021115928547, remaining_turns: 9
, computer, What is the size of the object?, The object is typically between 10 and 20 inches in length., Size:0.8,Length:0.7,Inch:0.6,Measurement, Size:0.38095238095238093,Length:0.3333333333333333,Inch:0.2857142857142857, information_gain: 7.033348047705214, remaining_turns: 8
, computer, What is the object used for?, The object is used for processing information., Information:0.8,Processing:0.7,Data:0.6,Compute, Information:0.38095238095238093,Processing:0.3333333333333333,Data:0.2857142857142857, information_gain: 7.033348047705214, remaining_turns: 7
, computer, What material is the object made of?, Metal., Metal:0.9,Material:0.8,Steel:0.7,Iron, Metal:0.37499999999999994,Material:0.3333333333333333,Steel:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 6
, computer, Is the object electronic?, Yes., Electronic:0.9,Technology:0.8,Circuit:0.7,Digital, Electronic:0.37499999999999994,Technology:0.3333333333333333,Circuit:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 5
, computer, What is the object's primary function?, The object's primary function is to process information., Information:0.9,Processing:0.8,Compute:0.7,Data, Information:0.37499999999999994,Processing:0.3333333333333333,Compute:0.29166666666666663, information_gain: 0.1577193082665519, remaining_turns: 4
, computer, I'm going to take a guess that the object is a laptop. ?, The object has a keyboard., Keyboard:0.9,Input:0.8,Laptop:0.7,Computer, Keyboard:0.37499999999999994,Input:0.3333333333333333,Laptop:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 3
, container, What is the general size of the object?, The general size of the object is small enough to be held in one hand., Handheld:0.9,Size:0.8,Compact:0.7,Portable, Handheld:0.37499999999999994,Size:0.3333333333333333,Compact:0.29166666666666663, information_gain: 27.631021115928547, remaining_turns: 26
, container, What is the main function or purpose of the object?, To hold something., Hold:0.9,Contain:0.8,Storage:0.7,Carry, Hold:0.37499999999999994,Contain:0.3333333333333333,Storage:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 25
, container, What material is the object made of?, Metal., Metal:0.9,Material:0.8,Steel:0.7,Iron, Metal:0.37499999999999994,Material:0.3333333333333333,Steel:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 24
, container, What is the object used to hold?, The object is used to hold liquids., Liquids:0.9,Contain:0.8,Hold:0.7,Water, Liquids:0.37499999999999994,Contain:0.3333333333333333,Hold:0.29166666666666663, information_gain: 8.330758649061005, remaining_turns: 23
, container, Is the object a cup?, No., Cup:-0.9,Drinkware:-0.8,Liquid:-0.7,Hold, Not Cup:0.37499999999999994,Not Drinkware:0.3333333333333333,Not Liquid:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 22
, container, What shape is the object?, The object is cylindrical., Cylindrical:0.9,Shape:0.8,Round:0.7,, Cylindrical:0.37499999999999994,Shape:0.3333333333333333,Round:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 21
, container, My guess is that the object is a can.?, No., Can:-0.9,Cylindrical:-0.8,Metal:-0.7,, Not Can:0.37499999999999994,Not Cylindrical:0.3333333333333333,Not Metal:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 20
, container, What is the object used for, The object is used for carrying things., Carry:0.9,Transport:0.8,Hold:0.7,Contain, Carry:0.37499999999999994,Transport:0.3333333333333333,Hold:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 19
, container, How is the object typically carried?, The object is typically carried by hand., Hand:0.9,Carry:0.8,Hold:0.7,Transport, Hand:0.37499999999999994,Carry:0.3333333333333333,Hold:0.29166666666666663, information_gain: 6.506378346509651, remaining_turns: 18
, container, What is the object's size relative to a human hand?, The object is larger than a human hand., Size:0.8,Large:0.7,Hand:0.6,Carry, Size:0.38095238095238093,Large:0.3333333333333333,Hand:0.2857142857142857, information_gain: 8.910719354058507, remaining_turns: 17
, container, My guess is that the object is a thermos.?, No., Thermos:-0.9,Carry:-0.8,Liquid:-0.7,Hold, Not Thermos:0.37499999999999994,Not Carry:0.3333333333333333,Not Liquid:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 16
, container, How does the object open and close?, The object has a lid., Lid:0.9,Open:0.8,Close:0.7,Cover, Lid:0.37499999999999994,Open:0.3333333333333333,Close:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 15
, container, What is the object's purpose in a social setting?, The object's purpose in a social setting is to hold and serve drinks., Drinks:0.9,Serve:0.8,Social:0.7,Hold, Drinks:0.37499999999999994,Serve:0.3333333333333333,Social:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 14
, container, My guess is that the object is a flask.?, No., Flask:-0.9,Drink:-0.8,Serve:-0.7,Hold, Not Flask:0.37499999999999994,Not Drink:0.3333333333333333,Not Serve:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 13
, container, How common is the object in everyday life?, It is very common in everyday life., Common:0.9,Everyday:0.8,Frequent:0.7,Us, Common:0.37499999999999994,Everyday:0.3333333333333333,Frequent:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 12
, container, What kind of liquid is the object typically used to hold?, Water., Water:0.9,Liquid:0.8,Drink:0.7,Hydration, Water:0.37499999999999994,Liquid:0.3333333333333333,Drink:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 11
, container, My guess is that the object is a water bottle.?, No., Water Bottle:-0.9,Water:-0.8,Drink:-0.7,Liquid, Not Water Bottle:0.37499999999999994,Not Water:0.3333333333333333,Not Drink:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 10
, container, What is distinctive about the object's design?, The object has a distinct shape with a wide mouth and a narrow neck., Shape:0.8,Mouth:0.7,Neck:0.6,Design, Shape:0.38095238095238093,Mouth:0.3333333333333333,Neck:0.2857142857142857, information_gain: 7.033348047705214, remaining_turns: 9
, container, My guess is that the object is a canteen.?, No., Canteen:-0.9,Water:-0.8,Drink:-0.7,Hold, Not Canteen:0.37499999999999994,Not Water:0.3333333333333333,Not Drink:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 8
, container, How does the object relate to travel or transportation?, The object is often used by people when they are traveling., Travel:0.9,Transportation:0.8,Journey:0.7,Mobile, Travel:0.37499999999999994,Transportation:0.3333333333333333,Journey:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 7
, container, My guess is that the object is a travel mug.?, No., Travel Mug:-0.9,Travel:-0.8,Drink:-0.7,Mobile, Not Travel Mug:0.37499999999999994,Not Travel:0.3333333333333333,Not Drink:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 6
, container, What sets the object apart from other objects used for holding liquids?, It is typically made of glass or plastic and has a narrow neck and a wide body., Glass:0.8,Plastic:0.7,Shape:0.6,Body, Glass:0.38095238095238093,Plastic:0.3333333333333333,Shape:0.2857142857142857, information_gain: 7.725624379224485, remaining_turns: 5
, container, My guess is that the object is a jug.?, No., Jug:-0.9,Liquid:-0.8,Hold:-0.7,Serve, Not Jug:0.37499999999999994,Not Liquid:0.3333333333333333,Not Hold:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 4
, container, What is the object's relationship to food and drink?, The object is used to hold food and drink., Food:0.9,Drink:0.8,Hold:0.7,Contain, Food:0.37499999999999994,Drink:0.3333333333333333,Hold:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 3
, container, My guess is that the object is a lunch box.?, No., Lunch Box:-0.9,Food:-0.8,Contain:-0.7,Hold, Not Lunch Box:0.37499999999999994,Not Food:0.3333333333333333,Not Contain:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 2
, container, What is the object's primary use in terms of food and drink?, The object is used to hold or store food or drink., Store:0.9,Food:0.8,Drink:0.7,Contain, Store:0.37499999999999994,Food:0.3333333333333333,Drink:0.29166666666666663, information_gain: 8.330758649061005, remaining_turns: 1
, container, My guess is that the object is a container.?, Correct., Container:1.0,Hold:0.9,Store:0.8,Contain, Container:0.37037037037037035,Hold:0.3333333333333333,Store:0.2962962962962963, information_gain: 6.426754146289066, remaining_turns: 0
, bedpost, What is the general size of the object?, It is typically between 2 and 5 feet tall and about 4 to 6 inches wide., Size:0.9,Height:0.8,Width:0.7,Measurement, Size:0.37499999999999994,Height:0.3333333333333333,Width:0.29166666666666663, information_gain: 27.631021115928547, remaining_turns: 6
, bedpost, What is the object's purpose or function?, The object's purpose or function is to support or hold up something., Support:0.9,Hold:0.8,Function:0.7,Structure, Support:0.37499999999999994,Hold:0.3333333333333333,Function:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 5
, bedpost, What material is the object made of?, Wood., Wood:0.9,Material:0.8,Timber:0.7,Construction, Wood:0.37499999999999994,Material:0.3333333333333333,Timber:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 4
, bedpost, What shape is the object?, The object is a cylindrical shape., Cylindrical:0.9,Shape:0.8,Round:0.7,, Cylindrical:0.37499999999999994,Shape:0.3333333333333333,Round:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 3
, bedpost, I'm going to take a guess that the object is a chair leg.?, No., Chair Leg:-0.9,Wood:-0.8,Support:-0.7,C, Not Chair Leg:0.37499999999999994,Not Wood:0.3333333333333333,Not Support:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 2
, bedpost, What is the object typically used to hold up?, A bed., Bed:0.9,Support:0.8,Furniture:0.7,Hold, Bed:0.37499999999999994,Support:0.3333333333333333,Furniture:0.29166666666666663, information_gain: 7.62951181183394, remaining_turns: 1
, bedpost, I'm going to take a guess that the object is a bedpost.?, Correct., Bedpost:1.0,Bed:0.9,Support:0.8,Wood, Bedpost:0.37037037037037035,Bed:0.3333333333333333,Support:0.2962962962962963, information_gain: 6.409659374514515, remaining_turns: 0
, xylophone, What is the size of the object?, The object is usually 3-4 feet in length and about 1-2 feet in width and height., Size:0.9,Length:0.8,Width:0.7,Height, Size:0.37499999999999994,Length:0.3333333333333333,Width:0.29166666666666663, information_gain: 27.631021115928547, remaining_turns: 8
, xylophone, What is the typical use of the object?, The typical use of the object is to produce musical sounds., Music:0.9,Sound:0.8,Instrument:0.7,Play, Music:0.37499999999999994,Sound:0.3333333333333333,Instrument:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 7
, xylophone, What is the material the object is made of?, Metal and Wood., Metal:0.8,Wood:0.7,Material:0.6,Instrument, Metal:0.38095238095238093,Wood:0.3333333333333333,Material:0.2857142857142857, information_gain: 7.033348047705214, remaining_turns: 6
, xylophone, Is the object a guitar?, No., Guitar:-0.9,Music:-0.8,Instrument:-0.7,Sound, Not Guitar:0.37499999999999994,Not Music:0.3333333333333333,Not Instrument:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 5
, xylophone, What is the shape of the object?, The object is typically long and narrow., Long:0.8,Narrow:0.7,Shape:0.6,Length, Long:0.38095238095238093,Narrow:0.3333333333333333,Shape:0.2857142857142857, information_gain: 7.033348047705214, remaining_turns: 4
, xylophone, Does the object have strings?, No., Strings:-0.9,Music:-0.8,Instrument:-0.7,Sound, Not Strings:0.37499999999999994,Not Music:0.3333333333333333,Not Instrument:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 3
, xylophone, How are the musical sounds produced by the object?, The musical sounds are produced by striking metal bars with a mallet., Mallet:0.9,Strike:0.8,Bars:0.7,Sound, Mallet:0.37499999999999994,Strike:0.3333333333333333,Bars:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 2
, xylophone, What is the general category of musical instruments that the object belongs to?, Percussion., Percussion:0.9,Music:0.8,Instrument:0.7,Sound, Percussion:0.37499999999999994,Music:0.3333333333333333,Instrument:0.29166666666666663, information_gain: 7.2935280511392415, remaining_turns: 1
, xylophone, Is the object a xylophone?, Correct., Xylophone:1.0,Percussion:0.9,Music:0.8, Xylophone:0.37037037037037035,Percussion:0.3333333333333333,Music:0.2962962962962963, information_gain: 6.426526387863607, remaining_turns: 0
, mound, What does the object look like?, The object is a raised mass of earth and/or stones., Earth:0.8,Stones:0.7,Mass:0.6,Raised, Earth:0.38095238095238093,Stones:0.3333333333333333,Mass:0.2857142857142857, information_gain: 27.631021115928547, remaining_turns: 9
, mound, What is the object's purpose?, It has no purpose., No Purpose:0.9,Natural:0.8,Formation:0.7,Ge, No Purpose:0.37499999999999994,Natural:0.3333333333333333,Formation:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 8
, mound, What is the object's size?, The object's size is small to medium., Size:0.8,Small:0.7,Medium:0.6,Range, Size:0.38095238095238093,Small:0.3333333333333333,Medium:0.2857142857142857, information_gain: 7.033348047705214, remaining_turns: 7
, mound, What shape is the object?, The object is a rounded shape., Rounded:0.9,Shape:0.8,Circle:0.7,Sphere, Rounded:0.37499999999999994,Shape:0.3333333333333333,Circle:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 6
, mound, What is the object's composition?, The object's composition is earth., Earth:0.9,Soil:0.8,Composition:0.7,Ground, Earth:0.37499999999999994,Soil:0.3333333333333333,Composition:0.29166666666666663, information_gain: 0.012441019796002484, remaining_turns: 5
, mound, Is the object a hill?, No., Hill:-0.9,Earth:-0.8,Rounded:-0.7,Geology, Not Hill:0.37499999999999994,Not Earth:0.3333333333333333,Not Rounded:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 4
, mound, What is the object's texture?, The object's texture is rough., Rough:0.9,Texture:0.8,Coarse:0.7,Surface, Rough:0.37499999999999994,Texture:0.3333333333333333,Coarse:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 3
, mound, I am going to take a guess that the object is a rock.?, No., Rock:-0.9,Earth:-0.8,Rough:-0.7,Geology, Not Rock:0.37499999999999994,Not Earth:0.3333333333333333,Not Rough:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 2
, mound, What is the object's color?, The object's color is brown., Brown:0.9,Color:0.8,Earth:0.7,Soil, Brown:0.37499999999999994,Color:0.3333333333333333,Earth:0.29166666666666663, information_gain: 8.162552470223128, remaining_turns: 1
, mound, I am going to take a guess that the object is a mound of dirt.?, Correct., Mound:1.0,Dirt:0.9,Earth:0.8,Brown, Mound:0.37037037037037035,Dirt:0.3333333333333333,Earth:0.2962962962962963, information_gain: 6.884316073067742, remaining_turns: 0
, housecoat, What is the general shape of the object?, The general shape of the object is a loose., Loose:0.9,Shape:0.8,Form:0.7,Texture, Loose:0.37499999999999994,Shape:0.3333333333333333,Form:0.29166666666666663, information_gain: 27.631021115928547, remaining_turns: 11
, housecoat, What is the size of the object?, It varies., Varies:0.9,Size:0.8,Range:0.7,Different, Varies:0.37499999999999994,Size:0.3333333333333333,Range:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 10
, housecoat, What is the object used for?, The object is used for warmth and comfort., Warmth:0.9,Comfort:0.8,Cozy:0.7,, Warmth:0.37499999999999994,Comfort:0.3333333333333333,Cozy:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 9
, housecoat, What material is the object made of?, The object is made of fabric., Fabric:0.9,Textile:0.8,Material:0.7,Cloth, Fabric:0.37499999999999994,Textile:0.3333333333333333,Material:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 8
, housecoat, Is the object something that can be held in your hand?, No., Handheld:-0.9,Size:-0.8,Portable:-0.7,Small, Not Handheld:0.37499999999999994,Not Size:0.3333333333333333,Not Portable:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 7
, housecoat, How does the object provide warmth and comfort?, The object provides warmth and comfort by covering and enveloping the body., Cover:0.9,Envelop:0.8,Body:0.7,Warm, Cover:0.37499999999999994,Envelop:0.3333333333333333,Body:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 6
, housecoat, What part of the body does the object typically cover?, The object typically covers the torso and legs., Torso:0.9,Legs:0.8,Body:0.7,, Torso:0.37499999999999994,Legs:0.3333333333333333,Body:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 5
, housecoat, My guess is that the object is a blanket. ?, It has sleeves., Sleeves:0.9,Blanket:0.8,Clothing:0.7, Sleeves:0.37499999999999994,Blanket:0.3333333333333333,Clothing:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 4
, noose, What is the general shape of the object?, The general shape of the object is a loop., Loop:0.9,Shape:0.8,Circle:0.7,Ring, Loop:0.37499999999999994,Shape:0.3333333333333333,Circle:0.29166666666666663, information_gain: 27.631021115928547, remaining_turns: 6
, noose, What is the object used for?, The object is used for hanging., Hanging:0.9,Loop:0.8,Support:0.7,Display, Hanging:0.37499999999999994,Loop:0.3333333333333333,Support:0.29166666666666663, information_gain: 5.53905622912433, remaining_turns: 5
, noose, What material is the object made of?, Rope., Rope:0.9,Material:0.8,String:0.7,Cord, Rope:0.37499999999999994,Material:0.3333333333333333,String:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 4
, noose, I'm going to take a guess that the object is a rope swing.?, No., Swing:-0.9,Rope:-0.8,Hanging:-0.7,, Not Swing:0.37499999999999994,Not Rope:0.3333333333333333,Not Hanging:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 3
, noose, How does the object hang things?, The object hangs things by encircling them with a loop that tightens when pulled., Loop:0.9,Encircling:0.8,Tighten:0.7, Loop:0.37499999999999994,Encircling:0.3333333333333333,Tighten:0.29166666666666663, information_gain: 0.01259726943895281, remaining_turns: 2
, noose, What is the object typically hung from?, A rope or a beam., Rope:0.8,Beam:0.7,Hanging:0.6,, Rope:0.38095238095238093,Beam:0.3333333333333333,Hanging:0.2857142857142857, information_gain: 0.3178647965277811, remaining_turns: 1
, noose, I'm going to take a guess that the object is a noose.?, Correct., Noose:1.0,Rope:0.9,Loop:0.8,, Noose:0.37037037037037035,Rope:0.3333333333333333,Loop:0.2962962962962963, information_gain: 5.975231099760669, remaining_turns: 0
, housetop, What does the object look like?, The object is typically a sloping structure that covers the top of a building., Sloping:0.9,Structure:0.8,Cover:0.7,Building, Sloping:0.37499999999999994,Structure:0.3333333333333333,Cover:0.29166666666666663, information_gain: 27.631021115928547, remaining_turns: 7
, housetop, What is the object made of?, The object is made of various materials., Materials:0.9,Construction:0.8,Wood:0.7,Metal, Materials:0.37499999999999994,Construction:0.3333333333333333,Wood:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 6
, housetop, How big is the object?, It can vary., Vary:0.9,Size:0.8,Range:0.7,Different, Vary:0.37499999999999994,Size:0.3333333333333333,Range:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 5
, housetop, What is the object's purpose?, The object's purpose is to cover and protect the building from weather conditions., Protect:0.9,Cover:0.8,Weather:0.7,Building, Protect:0.37499999999999994,Cover:0.3333333333333333,Weather:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 4
, housetop, Is the object man-made?, Yes., Man-made:0.9,Construction:0.8,Building:0.7,, Man-made:0.37499999999999994,Construction:0.3333333333333333,Building:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 3
, housetop, What is the object's shape?, The object's shape is flat., Flat:0.9,Shape:0.8,Surface:0.7,Level, Flat:0.37499999999999994,Shape:0.3333333333333333,Surface:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 2
