secret,turn_index,question,label
album,28,"Is the object used in theater to create a sound effect, such as a door creaking or a gun shot?",Function
album,29,Is the object used by a specific character or group of characters in a performance?,Function
album,30,Is the object used to create a sound that is associated with a particular action or event in a performance?,Function
album,31,Is the object used to create the sound of applause?,Function
album,32,Is the object used to create a sound that signals the start or end of a performance?,Function
album,33,Is the object used to create a sound that is associated with a dramatic or emotional moment in a performance?,Function
album,34,Is the object used to create a sound that is associated with a comedic or lighthearted moment in a performance?,Function
album,35,"Is the object used to create a sound that is associated with a specific activity or action, such as a sword fight or a horse ride?",Function
album,36,"Is the object used to create a sound that is associated with a natural phenomenon, such as thunder or a bird chirping?",Function
album,37,"Is the object used to create a sound that is associated with a man-made object, such as a car or a machine?",Function
album,38,Is the object used to create the sound of a car?,Function
album,39,Is the object used to create the sound of a machine or engine?,Function
album,40,Is the object used to create the sound of a bell?,Function
album,41,Is the object used to create the sound of a bicycle?,Function
album,42,Is the object used to create the sound of a train?,Function
album,43,Is the object used to create the sound of a plane?,Function
album,44,Is the object used to create the sound of a boat?,Function
album,45,Is the object used to create the sound of a phone?,Function
album,46,Is the object used to create the sound of a door?,Function
album,47,Is the object used to create the sound of footsteps?,Function
album,48,Is the object used to create the sound of a clock?,Function
album,49,Is the object used to create the sound of a camera?,Function
album,50,Is the object used to create the sound of a typewriter?,Function
altar,1,Is the object you are thinking of something that can be held in your hand?,Attribute
altar,2,Is the object you are thinking of man-made?,Category
altar,3,Is the object you are thinking of something that can be found indoors?,Location
altar,4,Is the object you are thinking of electronic?,Category
altar,5,Is the object you are thinking of made primarily of fabric?,Attribute
altar,6,Is the object you are thinking of made primarily of wood?,Attribute
altar,7,Is the object you are thinking of a piece of furniture?,Category
altar,8,Is the object you are thinking of a table?,Direct
altar,9,Is the object you are thinking of a chair?,Direct
altar,10,Is the object you are thinking of a bed?,Direct
altar,11,Is the object you are thinking of a desk?,Direct
altar,12,Is the object you are thinking of a bookshelf?,Direct
altar,13,Is the object you are thinking of a dresser?,Direct
altar,14,Is the object you are thinking of a nightstand?,Direct
altar,15,Is the object you are thinking of a wardrobe?,Direct
altar,16,Is the object you are thinking of a coffee table?,Direct
altar,17,Is the object you are thinking of a TV stand?,Direct
altar,18,Is the object you are thinking of a cabinet?,Direct
altar,19,Is the object you are thinking of a wardrobe closet?,Direct
altar,20,Is the object you are thinking of something that can be found in a kitchen?,Location
altar,21,Is the object you are thinking of something that can be found in a bedroom?,Location
altar,22,Is the object you are thinking of something that can be found in a living room?,Location
altar,23,Is the object you are thinking of something that can be found in a home office or study?,Location
altar,24,Is the object you are thinking of a bookcase?,Direct
altar,25,Is the object you are thinking of a file cabinet?,Direct
altar,26,Is the object you are thinking of a computer desk?,Direct
altar,27,Is the object you are thinking of a reading chair?,Category
altar,28,Is the object you are thinking of a lectern?,Direct
altar,29,Is the object you are thinking of something that serves as a surface for writing or working?,Function
altar,30,Is the object you are thinking of something that serves as storage for office supplies?,Function
altar,31,Is the object you are thinking of something that serves as a display case for awards or decorations?,Function
altar,32,Is the object you are thinking of a door?,Direct
altar,33,Is the object you are thinking of a window?,Direct
altar,34,Is the object you are thinking of a wall?,Direct
altar,35,Is the object you are thinking of a floor?,Direct
altar,36,Is the object you are thinking of a ceiling?,Direct
altar,37,Is the object you are thinking of a shelf?,Direct
altar,38,"Is the object you are thinking of something that can be sat on, aside from a chair?",Category
altar,39,"Is the object you are thinking of something that can be leaned on, aside from a chair?",Function
altar,40,"Is the object you are thinking of something that can be used for decoration, such as a vase or a sculpture?",Category
altar,41,Is the object you are thinking of a wooden statue?,Category
altar,42,Is the object you are thinking of a wooden plaque?,Direct
altar,43,Is the object you are thinking of a wooden picture frame?,Direct
altar,44,Is the object you are thinking of a wooden carving?,Category
altar,45,Is the object you are thinking of a wooden decorative box?,Category
altar,46,Is the object you are thinking of a wooden clock?,Direct
altar,47,Is the object you are thinking of something that is typically placed on a wall for decorative purposes?,Function
altar,48,Is the object you are thinking of something that is typically placed on a table or shelf for decorative purposes?,Function
altar,49,Is the object you are thinking of something that is typically placed on the floor for decorative purposes?,Location
altar,50,Is the object you are thinking of something that serves a functional purpose in addition to being decorative?,Function
anchor,1,Is the object you are thinking of something that can be held in your hand?,Attribute
anchor,2,Is the object man-made?,Category
anchor,3,Does the object have buttons or controls?,Attribute
anchor,4,Is the object used for entertainment?,Function
anchor,5,Is the object used for eating or drinking?,Function
anchor,6,Is the object made primarily of plastic?,Attribute
anchor,7,Is the object made primarily of metal?,Attribute
anchor,8,Is the object a tool?,Category
anchor,9,Is the object a hammer?,Direct
anchor,10,Is the object a screwdriver?,Direct
anchor,11,Is the object a pair of pliers?,Direct
anchor,12,Is the object a wrench?,Direct
anchor,13,Is the object used for cutting?,Function
anchor,14,Does the object have a distinct or unusual shape?,Attribute
anchor,15,Is the object a key?,Direct
anchor,16,Is the object commonly found in a kitchen?,Location
anchor,17,Is the object commonly found in a garage or workshop?,Location
anchor,18,Is the object used for personal grooming?,Function
anchor,19,Is the object a pocket knife?,Direct
anchor,20,Is the object a level?,Direct
anchor,21,Does the object have moving parts?,Attribute
anchor,22,Is the object a lock?,Direct
anchor,23,Is the object a gun?,Direct
anchor,24,Is the object a compass?,Direct
anchor,25,Is the object a clock or watch?,Category
anchor,26,Is the object a lighter?,Direct
anchor,27,Is the object a can opener?,Direct
anchor,28,Is the object a staple gun?,Direct
anchor,29,Is the object a tape measure?,Direct
anchor,30,Is the object a pair of scissors?,Direct
anchor,31,Is the object a metal ruler?,Direct
anchor,32,Is the object a thermometer?,Direct
anchor,33,Is the object a flashlight?,Direct
anchor,34,Is the object a lantern?,Direct
anchor,35,Is the object a whistle?,Direct
anchor,36,Is the object a harmonica?,Direct
anchor,37,Is the object a pipe?,Direct
anchor,38,Is the object a metal file?,Direct
anchor,39,Is the object a metal brush?,Direct
anchor,40,Is the object a metal pick?,Direct
anchor,41,Is the object a metal fork?,Direct
anchor,42,Is the object a metal spoon?,Direct
anchor,43,Is the object a metal pencil sharpener?,Direct
anchor,44,Is the object a metal paperweight?,Direct
anchor,45,Is the object a metal container?,Category
anchor,46,Is the object a metal picture frame?,Direct
anchor,47,Is the object a metal mirror?,Direct
anchor,48,Is the object a metal vase?,Direct
anchor,49,Is the object a metal figurine?,Category
anchor,50,Is the object a metal statue?,Category
anklet,1,Is the object you are thinking of something that can be held in your hand?,Attribute
anklet,2,Is the object you are thinking of man-made?,Category
anklet,3,Does the object you are thinking of have buttons or controls of any kind?,Attribute
anklet,4,Is the object you are thinking of used for a specific purpose or function?,Function
anklet,5,Is the object you are thinking of related to food or drink in any way?,Category
anklet,6,Is the object you are thinking of made primarily of plastic?,Attribute
anklet,7,Is the object you are thinking of made of metal?,Attribute
anklet,8,I'm going to take a guess that the object you are thinking of is a hammer.?,Direct
anklet,9,Is the object you are thinking of something that can be found in a toolbox?,Location
anklet,10,Is the object you are thinking of used for personal grooming or hygiene?,Function
anklet,11,"Is the object you are thinking of used for entertainment, such as a game or a toy?",Function
anklet,12,"Is the object you are thinking of used primarily with the hands, such as a tool or utensil?",Function
anklet,13,Is the object you are thinking of commonly found in most households?,Location
anklet,14,Is the object you are thinking of used for decorative purposes?,Function
anklet,15,I'm going to take a guess that the object you are thinking of is a metal picture frame. ?,Direct
anvil,1,Is the object you are thinking of something that can be held in your hand?,Attribute
anvil,2,Is the object you are thinking of man-made?,Category
anvil,3,Is the object you are thinking of something that can be found indoors?,Location
anvil,4,Is the object you are thinking of made primarily of metal?,Attribute
anvil,5,Is the object you are thinking of a type of furniture?,Category
anvil,6,Is the object you are thinking of something that can be found in a kitchen?,Location
anvil,7,"Is the object you are thinking of something that serves a functional purpose, like a tool or a machine?",Function
anvil,8,Is the object you are thinking of something that uses electricity?,Category
anvil,9,Is the object you are thinking of a type of vehicle?,Category
anvil,10,Is the object you are thinking of something that can be operated by one person?,Function
anvil,11,"Is the object you are thinking of something that is used for a specific task, like a wrench or a hammer?",Function
anvil,12,Is the object you are thinking of a type of saw?,Category
anvil,13,Is the object you are thinking of a type of drill?,Category
anvil,14,Is the object you are thinking of something that is used for cutting?,Function
anvil,15,Is the object you are thinking of something that is used for shaping or forming?,Function
anvil,16,Is the object you are thinking of a type of press?,Category
anvil,17,Is the object you are thinking of something that is used to shape or form metal?,Function
anvil,18,Is the object you are thinking of an anvil?,Direct
apron,1,Is the object you are thinking of something that can be held in your hand?,Attribute
apron,2,Is the object you are thinking of man-made?,Category
apron,3,Is the object you are thinking of something that can be found indoors?,Location
apron,4,Is the object you are thinking of made primarily of metal?,Attribute
apron,5,Is the object you are thinking of related to furniture?,Category
apron,6,Is the object you are thinking of something that serves a functional purpose?,Function
apron,7,Is the object you are thinking of related to a kitchen or food preparation?,Category
apron,8,Is the object you are thinking of a refrigerator?,Direct
apron,9,Is the object you are thinking of a sink?,Direct
apron,10,Is the object you are thinking of an appliance that is commonly found on a countertop?,Location
apron,11,Is the object you are thinking of a type of cookware?,Category
apron,12,"Is the object you are thinking of something that is used to prepare or process food, but is not an appliance or cookware?",Category
apron,13,Is the object you are thinking of a cutting board?,Direct
apron,14,Is the object you are thinking of a type of food or ingredient storage container?,Category
apron,15,Is the object you are thinking of a utensil?,Category
apron,16,Is the object you are thinking of something that is used to strain or filter food or liquids?,Function
apron,17,Is the object you are thinking of something that is used to mix or blend food or ingredients?,Function
apron,18,Is the object you are thinking of a spice rack?,Direct
apron,19,Is the object you are thinking of something that is used to serve food or drinks?,Function
apron,20,Is the object you are thinking of a plate?,Direct
apron,21,Is the object you are thinking of a glass or cup?,Category
apron,22,Is the object you are thinking of a bowl?,Direct
apron,23,"Is the object you are thinking of a serving utensil, such as a spoon or fork?",Category
apron,24,"Is the object you are thinking of a serving dish, such as a platter or tray?",Category
apron,25,"Is the object you are thinking of something that is used to carry or transport food or drinks, such as a tray or cart?",Function
apron,26,"Is the object you are thinking of something that is used to dispense or portion out food or drinks, such as a pitcher or dispenser?",Function
apron,27,Is the object you are thinking of a napkin or napkin holder?,Category
apron,28,Is the object you are thinking of a tablecloth or placemat?,Category
apron,29,"Is the object you are thinking of something that is used to decorate or enhance the dining experience, such as a centerpiece or candle holder?",Function
apron,30,"Is the object you are thinking of something that is used to protect or cover food or drinks, such as a lid or cover?",Function
apron,31,"Is the object you are thinking of something that is used to identify or label food or drinks, such as a label or sign?",Function
apron,32,Is the object you are thinking of a food warmer or chafing dish?,Category
apron,33,"Is the object you are thinking of something that is used to serve or dispense a specific type of food, such as a bread basket or cheese board?",Function
apron,34,"Is the object you are thinking of something that is used to serve or hold a beverage, such as a coffee carafe or tea infuser?",Function
apron,35,"Is the object you are thinking of something that is used to serve or hold a dessert, such as a cake stand or dessert plate?",Function
apron,36,Is the object you are thinking of a Lazy Susan?,Direct
apron,37,Is the object you are thinking of a buffet server or warming tray?,Category
apron,38,Is the object you are thinking of a food cart or serving cart?,Category
apron,39,Is the object you are thinking of a banquet table or dining table?,Category
apron,40,Is the object you are thinking of a high chair or booster seat?,Category
apron,41,"Is the object you are thinking of something that is used to facilitate eating or drinking for people with disabilities, such as a adaptive utensil or cup?",Category
apron,42,"Is the object you are thinking of something that is used to serve food or drinks in a specific cultural or traditional context, such as a sushi mat or fondue set?",Function
apron,43,"Is the object you are thinking of something that is used to serve or hold snacks, such as a snack bowl or chip and dip set?",Category
apron,44,"Is the object you are thinking of something that is used to serve or hold condiments, such as a condiment caddy or mustard dispenser?",Category
apron,45,"Is the object you are thinking of something that is used to serve or hold garnishes, such as a garnish tray or lemon wedge holder?",Function
apron,46,Is the object you are thinking of a gravy boat?,Direct
apron,47,"Is the object you are thinking of a pitcher that is used to serve a specific type of beverage, such as a water pitcher or juice pitcher?",Category
apron,48,"Is the object you are thinking of a container that is used to serve or hold a specific type of food, such as a bread box or cookie jar?",Category
apron,49,"Is the object you are thinking of something that is used to serve or hold a type of food that is typically served at a specific time of day, such as a breakfast server or brunch platter?",Function
apron,50,"Is the object you are thinking of something that is used to serve or hold a type of food that is typically served in a specific location, such as a picnic basket or tailgating grill?",Function
armchair,1,Is the object you are thinking of something that can be held in your hand?,Attribute
armchair,2,Is the object you are thinking of man-made?,Category
armchair,3,Is the object you are thinking of something that can be found indoors?,Location
armchair,4,Is the object you are thinking of related to furniture?,Category
armchair,5,Is the object you are thinking of a chair?,Direct
armchair,6,Is the object you are thinking of made of wood?,Attribute
armchair,7,Is the object you are thinking of an oak chair?,Category
armchair,8,Is the object you are thinking of a pine chair?,Category
armchair,9,Is the object you are thinking of a maple chair?,Direct
armchair,10,Is the object you are thinking of a cedar chair?,Direct
armchair,11,Is the object you are thinking of a cherry chair?,Direct
armchair,12,Is the object you are thinking of a walnut chair?,Direct
armchair,13,Is the object you are thinking of a beech chair?,Direct
armchair,14,Is the object you are thinking of a birch chair?,Direct
armchair,15,Is the object you are thinking of an ash chair?,Category
armchair,16,Is the object you are thinking of an elm chair?,Category
armchair,17,Is the object you are thinking of a hickory chair?,Direct
armchair,18,Is the object you are thinking of a teak chair?,Direct
armchair,19,Is the object you are thinking of a mahogany chair?,Direct
armchair,20,Is the object you are thinking of an eucalyptus chair?,Category
armchair,21,Is the object you are thinking of an aspen chair?,Category
armchair,22,Is the object you are thinking of a poplar chair?,Category
armchair,23,Is the object you are thinking of a cypress chair?,Direct
armchair,24,Is the object you are thinking of a redwood chair?,Direct
armchair,25,Is the object you are thinking of a spruce chair?,Category
armchair,26,Is the object you are thinking of a fir chair?,Category
armchair,27,Is the object you are thinking of a willow chair?,Direct
armchair,28,Is the object you are thinking of a sycamore chair?,Direct
armchair,29,What type of wood is the object you are thinking of made of?,Attribute
armchair,30,What is the object you are thinking of made of?,Attribute
armchair,31,Is the object you are thinking of an upholstered chair?,Category
armchair,32,Is the object you are thinking of a leather chair?,Category
armchair,33,Is the object you are thinking of a recliner?,Direct
armchair,34,Is the object you are thinking of a sofa?,Direct
armchair,35,Is the object you are thinking of a loveseat?,Direct
armchair,36,Is the object you are thinking of a desk chair?,Category
armchair,37,Is the object you are thinking of a dining chair?,Category
armchair,38,Is the object you are thinking of an armchair?,Direct
armoire,1,Is the object you are thinking of something that can be held in your hand?,Attribute
armoire,2,Is the object you are thinking of man-made?,Category
armoire,3,Is the object you are thinking of something that can be found indoors?,Location
armoire,4,Is the object you are thinking of related to furniture?,Category
armoire,5,Is the object you are thinking of a chair?,Direct
armoire,6,Is the object you are thinking of a table?,Direct
armoire,7,Is the object you are thinking of a bed?,Direct
armoire,8,Is the object you are thinking of a desk?,Direct
armoire,9,Is the object you are thinking of a dresser or a bookshelf?,Category
armoire,10,Is the object you are thinking of a television?,Direct
armoire,11,Is the object you are thinking of a refrigerator?,Direct
armoire,12,Is the object you are thinking of a door?,Direct
armoire,13,Is the object you are thinking of a window?,Direct
armoire,14,Is the object you are thinking of a wall?,Direct
armoire,15,Is the object you are thinking of a floor?,Direct
armoire,16,Is the object you are thinking of a ceiling?,Direct
armoire,17,Is the object you are thinking of a light fixture?,Category
armoire,18,Is the object you are thinking of a curtain or a blind?,Category
armoire,19,Is the object you are thinking of a rug?,Direct
armoire,20,Is the object you are thinking of a mirror?,Direct
armoire,21,Is the object you are thinking of a picture frame?,Direct
armoire,22,Is the object you are thinking of a clock?,Direct
armoire,23,Is the object you are thinking of a closet?,Direct
armoire,24,Is the object you are thinking of a closet organizer system?,Category
armoire,25,"Is the object you are thinking of the closet itself, rather than something inside the closet?",Location
armoire,26,Is the object you are thinking of a walk-in closet?,Direct
armoire,27,Is the object you are thinking of a reach-in closet?,Category
armoire,28,Is the object you are thinking of a linen closet?,Direct
armoire,29,Is the object you are thinking of a coat closet?,Category
armoire,30,Is the object you are thinking of a pantry closet?,Direct
armoire,31,Is the object you are thinking of a broom closet?,Direct
armoire,32,Is the object you are thinking of a storage closet?,Direct
armoire,33,Is the object you are thinking of a utility closet?,Direct
armoire,34,Is the object you are thinking of a laundry closet?,Direct
armoire,35,Is the object you are thinking of a medicine cabinet closet?,Category
armoire,36,Is the object you are thinking of a built-in closet?,Location
armoire,37,Is the object you are thinking of a portable closet?,Direct
armoire,38,Is the object you are thinking of a portable closet organizer system?,Category
armoire,39,Is the object you are thinking of a garment bag?,Direct
armoire,40,Is the object you are thinking of an armoire?,Direct
armor,1,Is the object you are thinking of something that can be held in your hand?,Attribute
armor,2,Is the object you are thinking of man-made?,Category
armor,3,Is the object you are thinking of something that can be found indoors?,Location
armor,4,Is the object you are thinking of made primarily of metal?,Attribute
armor,5,Is the object you are thinking of a machine or device that serves a specific purpose or function?,Category
armor,6,Is the object you are thinking of a piece of furniture?,Category
armor,7,Is the object you are thinking of something that can be found in a kitchen?,Location
armor,8,Is the object you are thinking of something that can be found in a bedroom?,Location
armor,9,Is the object you are thinking of a decoration or a work of art?,Category
armor,10,"Is the object you are thinking of something that serves a structural purpose, such as a beam or a column?",Category
armor,11,Is the object you are thinking of related to heating or cooling?,Function
armor,12,Is the object you are thinking of something that can be found in a bathroom?,Location
armor,13,Is the object you are thinking of something that can be found in a living room?,Location
armor,14,Is the object you are thinking of a type of metal pipe or tubing?,Category
armor,15,Is the object you are thinking of something that can be found in a laundry room or a utility room?,Location
armor,16,Is the object you are thinking of something that can be found in a garage or a workshop?,Location
armor,17,Is the object you are thinking of a tool?,Category
armor,18,Is the object you are thinking of something that is used for storage?,Function
armor,19,Is the object you are thinking of something that is used for organization?,Function
armor,20,Is the object you are thinking of a vehicle or a part of a vehicle?,Category
armor,21,Is the object you are thinking of something that is used for a recreational or entertainment purpose?,Function
armor,22,Is the object you are thinking of something that is used for a functional or practical purpose in a garage or workshop?,Function
armor,23,Is the object you are thinking of something that is mounted on a wall in a garage or workshop?,Location
armor,24,Is the object you are thinking of something that is freestanding in a garage or workshop?,Location
armor,25,Is the object you are thinking of something that is typically found on the floor in a garage or workshop?,Location
armor,26,Is the object you are thinking of something that is typically found on a workbench in a garage or workshop?,Location
armor,27,Is the object you are thinking of something that is typically found on a shelf in a garage or workshop?,Location
armor,28,Is the object you are thinking of something that is typically found in a corner of a garage or workshop?,Location
armor,29,Is the object you are thinking of something that is used to hold or support something else in a garage or workshop?,Function
armor,30,Is the object you are thinking of something that is related to a specific task or activity that is commonly performed in a garage or workshop?,Category
armor,31,"Is the object you are thinking of something that is made of a heavy metal, such as lead or iron?",Attribute
armor,32,Is the object you are thinking of a weight or a heavy metal block?,Category
armor,33,Is the object you are thinking of something that is used to anchor or secure something else in a garage or workshop?,Function
armor,34,Is the object you are thinking of something that is used to protect or shield something else in a garage or workshop?,Function
armor,35,Is the object you are thinking of a metal shield or a guard?,Category
armor,36,Is the object you are thinking of a metal guard or shield used to protect a person or an object from harm in a garage or workshop?,Function
armor,37,Is the object you are thinking of a metal shield or guard used to protect a machine or a device from damage in a garage or workshop?,Category
armor,38,Is the object you are thinking of a metal shield or guard used to protect a specific area or surface in a garage or workshop?,Function
armor,39,"Is the object you are thinking of a metal shield or guard used to protect against a specific hazard or danger in a garage or workshop, such as sparks or flames?",Function
armor,40,"Is the object you are thinking of a metal shield or guard used to protect against a specific type of object or material in a garage or workshop, such as sharp edges or heavy objects?",Function
armor,41,"Is the object you are thinking of a metal shield or guard used to protect against a specific type of energy or force in a garage or workshop, such as heat or vibration?",Function
armor,42,"Is the object you are thinking of a metal shield or guard used to protect a specific type of equipment or machinery in a garage or workshop, such as a drill press or a saw?",Category
armor,43,"Is the object you are thinking of a metal shield or guard used to protect a specific type of vehicle or machinery in a garage or workshop, such as a car or a motorcycle?",Category
armor,44,"Is the object you are thinking of a metal shield or guard used to protect a specific type of electrical equipment or device in a garage or workshop, such as a generator or a power tool?",Category
armor,45,"Is the object you are thinking of a metal shield or guard used to protect a specific type of fuel or chemical in a garage or workshop, such as gasoline or oil?",Function
armor,46,Is the object you are thinking of a fire shield or a heat shield?,Category
armor,47,Is the object you are thinking of a spark guard?,Direct
armor,48,Is the object you are thinking of a metal shield or guard used to protect against radiation in a garage or workshop?,Category
armor,49,Is the object you are thinking of a metal shield or guard used to protect against electromagnetic interference in a garage or workshop?,Category
armor,50,Is the object you are thinking of a metal shield or guard used to protect against noise or sound in a garage or workshop?,Function
arms,1,Is the object you are thinking of something that can be held in your hand?,Attribute
arms,2,Is the object man made?,Category
arms,3,Does the object have buttons or controls?,Attribute
arms,4,Does the object require batteries?,Attribute
arms,5,Is the object used for entertainment?,Function
arms,6,Is the object used for a specific task?,Function
arms,7,Is the object electronic?,Category
arms,8,Is the object used primarily with the hands?,Function
arms,9,Is the object used for a task related to food or drink?,Function
arms,10,Is the object commonly found in an office or workspace?,Location
arms,11,Is the object a writing instrument?,Category
arms,12,Is the object used to manipulate or interact with paper?,Function
arms,13,Is the object used to organize or manage something?,Function
arms,14,Is the object used to create something?,Function
arms,15,Is the object an artistic tool?,Category
arms,16,Is the object used to create something functional?,Function
arms,17,Is the object used to create something that serves a specific purpose or function?,Function
arms,18,Is the object a tool?,Category
arms,19,Is the object used to create a physical object or structure?,Function
arms,20,Is the object used in the process of building or assembling something?,Function
arms,21,Is the object used to shape or mold something?,Function
arms,22,Is the object used to create a three dimensional object?,Function
arms,23,Is the object used to create a two dimensional object?,Function
arms,24,Is the object used to create an object that has moving parts?,Function
arms,25,Is the object used to create something that can be used by only one person at a time?,Function
arms,26,Is the object used to create something that is used for personal grooming or hygiene?,Function
arms,27,Is the object used to create something that serves a purpose for the creator of the object?,Function
arms,28,Is the object used to create something that is used to perform a task that requires precision?,Function
arms,29,Is the object a machine?,Category
arms,30,Is the object used to create something that is used to perform a task that requires precision and is used primarily with the hands?,Function
arms,31,Is the object used to create something that can be used to perform a task that requires a high level of skill or craftsmanship?,Function
arms,32,Is the object used to create something that is used to perform a task that requires a moderate level of skill?,Function
arms,33,Is the object used to create something that is used to perform a task that can be done with little to no training?,Function
arms,34,Is the object used to create something that is used to perform a task that is done on a daily basis?,Function
arms,35,Is the object used to create something that is disposable?,Function
arms,36,I'm going to take a guess that the object you are thinking of is a paperclip.?,Direct
arms,37,Is the object you are thinking of made of plastic?,Attribute
arms,38,Is the object you are thinking of made of metal?,Attribute
arms,39,Is the object you are thinking of used to create something that is used for a specific task related to personal care?,Function
arms,40,Is the object you are thinking of used to create something that is used for a specific task related to cleaning?,Function
arms,41,Is the object you are thinking of used to create something that is used for a specific task related to a hobby?,Function
arms,42,Is the object you are thinking of used to create something that is used for a specific task related to a household chore?,Function
arms,43,Is the object you are thinking of used to create something that is used for a specific task related to organization?,Function
arms,44,Is the object you are thinking of used to create something that is used for a specific task related to time keeping?,Function
arms,45,Is the object you are thinking of used to create something that is used for a specific task related to a daily routine?,Function
arms,46,Is the object you are thinking of used to create something that is used for a specific task related to eating or drinking?,Function
arms,47,Is the object you are thinking of used to create something that is used for a specific task related to personal hygiene?,Function
arms,48,Is the object you are thinking of used to create something that is used for a specific task related to grooming?,Function
arms,49,Is the object you are thinking of used to create something that is used for a specific task related to health?,Function
arms,50,Is the object you are thinking of used to create something that is used for a specific task related to wellness?,Function
artifact,1,Is the object you are thinking of something that can be held in your hand?,Attribute
artifact,2,Is the object you are thinking of man-made?,Category
artifact,3,Does the object you are thinking of have buttons or controls?,Attribute
artifact,4,Is the object you are thinking of electronic?,Category
artifact,5,Does the object you are thinking of have moving parts?,Attribute
